"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","廠商前台-我的案件","1","0","TC3-3-1案件申請-基本資訊-格式檢核","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-2新增廠商帳號失敗","0"
"0","","0","廠商前台-我的案件","1","0","TC3-3-3案件申請-申請產品-格式檢核","0"
"0","","0","廠商前台-登入","1","0","TC2-1廠商忘記密碼請求寄送信件成功","0"
"0","","0","廠商前台-登入","1","0","TC2-2廠商忘記密碼請求寄送信件失敗","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-1新增廠商帳號成功","0"
"0","","0","角色權限功能","1","0","TC4-1角色(無)權限驗證成功","0"
"0","","0","協會後台-協會帳號管理","1","0","TC3-3新增協會帳號失敗","0"
"0","","0","廠商前台-登入","1","0","TC1-2廠商用戶登入失敗","0"
"0","","0","角色權限功能","1","0","TC4-2角色(一般)權限驗證成功","0"
"0","","0","協會後台-協會帳號管理","1","0","TC3-5編輯協會帳號成功","0"
"0","","0","協會後台-登入","1","0","TC1-1協會用戶登入成功","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-9搜尋與篩選成功","0"
"0","","0","廠商前台-登入","1","0","TC1-1廠商用戶登入/登出成功","0"
"0","","0","協會後台-登入","1","0","TC2-2協會忘記密碼請求寄送信件失敗","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-4新增廠商帳號自動帶入資訊失敗","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-6編輯廠商帳號成功","0"
"0","","0","協會後台-登入","1","0","TC1-1協會用戶登入失敗","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-7變更帳號狀態成功","0"
"0","","0","廠商前台-我的案件","1","0","TC3-3-2案件申請-工廠資訊-格式檢核","0"
"0","","0","廠商前台-我的案件","1","0","TC3-3-6案件申請-文審費-格式檢核","0"
"0","","0","協會後台-登入","1","0","TC2-1協會忘記密碼請求寄送信件成功","0"
"0","","0","廠商前台-我的案件","1","0","TC3-3-4案件申請-不申請產品-格式檢核","0"
"0","","0","協會後台-協會帳號管理","1","0","TC3-7搜尋與篩選成功","0"
"0","","0","協會後台-協會帳號管理","1","0","TC3-6編輯協會狀態成功","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-8變更會員狀態成功","0"
"0","","0","協會後台-協會帳號管理","1","0","TC3-1新增協會帳號成功","0"
"0","","0","協會後台-廠商帳號管理","1","0","TC5-3新增廠商帳號自動帶入資訊成功","0"
"0","","0","廠商前台-我的案件","1","0","TC3-1廠商新增案件成功","0"
"0","","0","廠商前台-我的案件","1","0","TC3-3-5案件申請-原料資訊-格式檢核","0"
"0","","0","廠商前台-我的案件","1","0","TC3-2案件下載成功","0"
