"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16258","test_basic_information_format_check","halal","Tue May 20 11:45:38 CST 2025","passed","Tue May 20 11:45:54 CST 2025","","test_company_info","",""
"","7033","test_user_create_manufactor_account_failed","halal","Tue May 20 11:47:43 CST 2025","passed","Tue May 20 11:47:50 CST 2025","","test_manufactor_account","",""
"","28095","test_apply_for_product_format_check","halal","Tue May 20 11:46:29 CST 2025","passed","Tue May 20 11:46:58 CST 2025","","test_company_info","",""
"","5259","test_manufactor_forgot_password_request_send_to_email_successfully","halal","Tue May 20 11:48:43 CST 2025","passed","Tue May 20 11:48:48 CST 2025","","test_manufactor_case","",""
"","2637","test_manufactor_forgot_password_request_send_to_email_failed","halal","Tue May 20 11:48:49 CST 2025","passed","Tue May 20 11:48:52 CST 2025","","test_manufactor_case","",""
"","8193","test_user_create_manufactor_account_successfully","halal","Tue May 20 11:47:33 CST 2025","passed","Tue May 20 11:47:41 CST 2025","","test_manufactor_account","",""
"","9277","test_verify_no_role_permissions_successfully","halal","Tue May 20 11:43:25 CST 2025","passed","Tue May 20 11:43:34 CST 2025","","test_association_account","",""
"","4885","test_user_create_association_account_failed","halal","Tue May 20 11:43:00 CST 2025","passed","Tue May 20 11:43:05 CST 2025","","test_association_account","",""
"","2962","test_user_manufactor_login_failed","halal","Tue May 20 11:48:40 CST 2025","passed","Tue May 20 11:48:43 CST 2025","","test_manufactor_case","",""
"","6796","test_verify_read_only_role_permissions_successfully","halal","Tue May 20 11:43:36 CST 2025","passed","Tue May 20 11:43:43 CST 2025","","test_association_account","",""
"","3281","test_user_edit_association_account_successfully","halal","Tue May 20 11:43:07 CST 2025","passed","Tue May 20 11:43:10 CST 2025","","test_association_account","",""
"","4915","test_user_association_login_and_logout_successfully","halal","Tue May 20 11:42:27 CST 2025","passed","Tue May 20 11:42:32 CST 2025","","test_association_account","",""
"","10058","test_user_search_manufactor_successfully","halal","Tue May 20 11:48:25 CST 2025","passed","Tue May 20 11:48:35 CST 2025","","test_manufactor_account","",""
"","3802","test_user_manufactor_login_and_logout_successfully","halal","Tue May 20 11:48:35 CST 2025","passed","Tue May 20 11:48:39 CST 2025","","test_manufactor_case","",""
"","1966","test_association_forgot_password_request_send_to_email_failed","halal","Tue May 20 11:42:43 CST 2025","passed","Tue May 20 11:42:45 CST 2025","","test_association_account","",""
"","3639","test_user_create_manufactor_account_auto_bring_info_failed","halal","Tue May 20 11:47:58 CST 2025","passed","Tue May 20 11:48:01 CST 2025","","test_manufactor_account","",""
"","3922","test_user_edit_manufactor_account_successfully","halal","Tue May 20 11:48:03 CST 2025","passed","Tue May 20 11:48:07 CST 2025","","test_manufactor_account","",""
"","2856","test_user_association_login_failed","halal","Tue May 20 11:42:33 CST 2025","passed","Tue May 20 11:42:36 CST 2025","","test_association_account","",""
"","8674","test_user_edit_account_status_successfully","halal","Tue May 20 11:48:08 CST 2025","passed","Tue May 20 11:48:17 CST 2025","","test_manufactor_account","",""
"","31326","test_factory_information_format_check","halal","Tue May 20 11:45:56 CST 2025","passed","Tue May 20 11:46:28 CST 2025","","test_company_info","",""
"","13143","test_document_review_fee_format_check","halal","Tue May 20 11:47:19 CST 2025","passed","Tue May 20 11:47:32 CST 2025","","test_company_info","",""
"","6245","test_association_forgot_password_request_send_to_email_successfully","halal","Tue May 20 11:42:36 CST 2025","passed","Tue May 20 11:42:42 CST 2025","","test_association_account","",""
"","7452","test_dont_apply_for_products_format_check","halal","Tue May 20 11:46:59 CST 2025","passed","Tue May 20 11:47:07 CST 2025","","test_company_info","",""
"","5263","test_user_search_association_successfully","halal","Tue May 20 11:43:18 CST 2025","passed","Tue May 20 11:43:23 CST 2025","","test_association_account","",""
"","5526","test_user_edit_association_status_successfully","halal","Tue May 20 11:43:11 CST 2025","passed","Tue May 20 11:43:17 CST 2025","","test_association_account","",""
"","5044","test_user_edit_member_status_successfully","halal","Tue May 20 11:48:18 CST 2025","passed","Tue May 20 11:48:23 CST 2025","","test_manufactor_account","",""
"","11474","test_user_create_association_account_successfully","halal","Tue May 20 11:42:47 CST 2025","passed","Tue May 20 11:42:58 CST 2025","","test_association_account","",""
"","4794","test_user_create_manufactor_account_auto_bring_info_successfully","halal","Tue May 20 11:47:51 CST 2025","passed","Tue May 20 11:47:56 CST 2025","","test_manufactor_account","",""
"","88866","test_add_new_application_case_successfully","halal","Tue May 20 11:43:45 CST 2025","passed","Tue May 20 11:45:14 CST 2025","","test_company_info","",""
"","9000","test_raw_material_information_format_check","halal","Tue May 20 11:47:08 CST 2025","passed","Tue May 20 11:47:17 CST 2025","","test_company_info","",""
"","20176","test_case_download_successfully","halal","Tue May 20 11:45:16 CST 2025","passed","Tue May 20 11:45:36 CST 2025","","test_company_info","",""
